Product ID,Product Name,Product Price,Unit Price,Date of Transaction,Hour of Transaction,Country
9,Sneakers,18,77.74,2020-03-10,21:08,Italy
9,Sweatpants,16,52.41,2020-01-12,14:57,Romania
3,Sports Shoes,4,86.42,2020-08-08,10:32,Sweden
6,Sneakers,8,83.16,2020-05-12,17:33,Germany
8,Polo Shirt,20,66.55,2020-09-04,06:23,Italy
5,Dress Pants,2,93.11,2020-11-14,14:58,Germany
2,Sweatpants,16,49.71,2020-02-08,21:29,Netherlands
4,Sneakers,1,60.04,2020-02-05,10:37,Sweden
9,Sweatpants,7,30.47,2020-04-22,22:56,Cyprus
2,Long Sleeve Shirt,12,92.71,2020-05-17,10:58,Italy
8,Dress Shirt,10,67.59,2020-05-13,06:54,Bulgaria
9,Polo Shirt,13,42.23,2020-08-07,03:17,Latvia
10,Dress Shirt,10,68.27,2020-08-02,18:39,Estonia
10,Sneakers,15,44.9,2020-09-25,04:11,Portugal
3,Dress Shoes,6,76.53,2020-07-25,10:59,Italy
9,Dress Shoes,11,47.29,2020-08-31,17:08,Netherlands
5,Casual Shoes,19,77.6,2020-02-23,04:45,Luxembourg
3,Jeans,15,61.77,2020-08-19,15:44,France
10,Dress Shirt,5,28.14,2020-07-23,21:31,Denmark
7,Dress Shoes,16,64.48,2020-07-22,02:45,Portugal
9,Dress Pants,13,22.15,2020-09-17,01:50,Luxembourg
10,Dress Shirt,14,28.61,2020-10-16,01:42,Luxembourg
8,Polo Shirt,10,76.59,2020-07-19,06:21,Bulgaria
10,Sports Shoes,4,36.24,2020-09-14,14:31,Belgium
9,Long Sleeve Shirt,12,41.76,2020-10-10,06:24,Belgium
8,Sneakers,15,15.25,2020-10-01,02:50,Croatia
1,Casual Shoes,18,61.81,2020-02-23,01:51,Netherlands
7,Sports Shoes,14,26.87,2020-12-03,19:39,Greece
6,Sneakers,18,29.66,2020-07-25,08:00,Croatia
4,Jeans,1,59.73,2020-08-23,02:18,Italy
3,Sneakers,4,24.75,2020-11-30,13:02,Portugal
1,Long Sleeve Shirt,1,68.64,2020-02-22,12:47,Denmark
9,Long Sleeve Shirt,2,40.95,2020-03-13,12:13,Germany
2,Sweatpants,12,10.48,2020-02-23,01:56,Finland
3,Dress Pants,4,68.13,2020-10-17,18:03,Malta
9,Polo Shirt,13,25.75,2020-12-18,21:22,Portugal
2,Casual Shoes,10,47.5,2020-07-27,08:58,Belgium
8,Sports Shoes,11,34.65,2020-08-14,15:04,Slovenia
8,Polo Shirt,20,21.51,2020-12-21,23:49,Portugal
6,Jeans,11,32.72,2020-12-15,03:27,Portugal
1,Sports Shoes,20,54.69,2020-01-07,05:52,France
6,Dress Pants,17,53.09,2020-07-07,03:40,Czech Republic
5,Dress Shoes,15,65.05,2020-11-18,03:15,Hungary
10,Sneakers,19,71.1,2020-11-06,11:23,Hungary
7,Sweatpants,9,51.72,2020-01-01,00:13,France
8,Jeans,13,28.25,2020-11-07,02:04,France
6,Dress Shoes,13,79.19,2020-06-10,23:34,Liechtenstein
9,Sneakers,10,97.92,2020-04-12,19:28,Sweden
10,Sweatpants,13,91.75,2020-06-03,17:19,Cyprus
6,Sweatpants,7,76.16,2020-07-20,06:28,Romania
3,Dress Shoes,9,44.48,2020-09-22,18:40,Sweden
4,Dress Pants,12,18.5,2020-01-06,21:50,Norway
9,Jeans,14,10.12,2020-05-07,16:13,Croatia
6,Dress Shirt,18,61.03,2020-03-25,03:38,Poland
1,Sweatpants,10,11.46,2020-11-22,07:25,Latvia
2,Jeans,20,30.9,2020-09-26,20:23,Portugal
2,Sneakers,2,60.95,2020-11-11,10:42,Lithuania
1,Sports Shoes,3,40.47,2020-08-19,00:03,Denmark
7,Jeans,4,83.04,2020-10-19,01:11,Hungary
7,Sneakers,12,83.1,2020-09-21,07:43,Netherlands
3,Casual Shoes,9,28.14,2020-12-14,01:34,Slovenia
8,Sneakers,9,78.3,2020-10-10,01:22,Portugal
10,Sports Shoes,12,70.93,2020-05-04,09:17,Belgium
7,Sweatpants,2,95.98,2020-10-04,18:43,Lithuania
1,Long Sleeve Shirt,11,81.94,2020-10-08,10:14,Cyprus
2,Sweatpants,8,62.67,2020-01-11,02:30,Finland
1,Dress Shoes,14,80.98,2020-02-21,21:51,Iceland
3,Polo Shirt,8,70.72,2020-11-12,07:32,Bulgaria
2,Long Sleeve Shirt,20,58.73,2020-07-16,15:45,Norway
3,Dress Shoes,5,77.3,2020-02-08,00:56,Spain
8,Dress Shirt,12,45.67,2020-12-03,00:34,Romania
